POLY_ID,CMP_ID,POLY_RATING,CMP,PERCENT,CMP_CLASS,CLIMATE_POINTS,CLIMATE_CLASS,PROVINCE,SOIL_CODE,SOIL_NAME,SOIL_POINTS,SOIL_CLASS,LANDSCAPE_POINTS,LANDSCAPE_CLASS
BCC0115000898,BC50008982,5T(5) - 7VPT(3) - NR(2),2,30,7,63,2,BC,CNL,~~~~~,0,7,5,7
BCC0115000898,BC50008983,5T(5) - 7VPT(3) - NR(2),3,20,NR,63,2,BC,EUC,~~~~~,,NotRated,5,7
BCC0115000900,BC50009001,6TV(10),1,100,6,78,2,BC,NCH,~~~~~,31,4,16,6
BCC0115000902,BC50009021,3WV(7) - 6WV(3),1,70,3,78,2,BC,BTS,~~~~~,50,3,100,1
BCC0115000902,BC50009022,3WV(7) - 6WV(3),2,30,6,78,2,BC,BFL,d~~~~,14,6,100,1
BCC0115000903,BC50009031,3V(10),1,70,3,78,2,BC,LKM,~~~~~,52,3,100,1
BCC0115000903,BC50009032,3V(10),2,30,3,78,2,BC,LKM,sv~~~,58,3,100,1
BCC0115000905,BC50009051,5VM(7) - 7WV(3),1,40,5,78,2,BC,CUB,~~~~~,23,5,100,1
BCC0115000905,BC50009052,5VM(7) - 7WV(3),2,30,4,78,2,BC,DFH,~~~~~,32,4,100,1
BCC0115000905,BC50009053,5VM(7) - 7WV(3),3,30,7,78,2,BC,LHM,d~~~~,6,7,100,1
BCC0115000906,BC50009061,3V(10),1,100,3,78,2,BC,KNY,~~~~~,51,3,94,1
BCC0115000907,BC50009071,3WV(10),1,60,3,78,2,BC,VYE,~~~~~,54,3,100,1
BCC0115000907,BC50009072,3WV(10),2,40,3,78,2,BC,BTS,~~~~~,50,3,100,1
BCC0115000908,BC50009081,4VW(10),1,100,4,82,1,BC,DFH,~~~~~,30,4,100,1
BCC0115000909,BC50009091,3WV(7) - 6WV(3),1,70,3,78,2,BC,BTS,~~~~~,50,3,100,1
BCC0115000909,BC50009092,3WV(7) - 6WV(3),2,30,6,78,2,BC,BFL,d~~~~,14,6,100,1
BCC0115000910,BC50009101,3WV(10),1,100,3,78,2,BC,BTS,~~~~~,50,3,100,1
BCC0115000911,BC50009111,6V(8) - 7WV(2),1,60,6,78,2,BC,WHC,~~~~~,14,6,94,1
BCC0115000911,BC50009112,6V(8) - 7WV(2),2,20,4,78,2,BC,NCH,~~~~~,31,4,90,1
BCC0115000911,BC50009113,6V(8) - 7WV(2),3,20,7,78,2,BC,SCT,d~~~~,5,7,100,1
BCC0115000912,BC50009121,6MV(10),1,100,6,78,2,BC,SDS,~~~~~,15,6,100,1
BCC0115000913,BC50009131,5V(10),1,70,6,78,2,BC,WHC,~~~~~,14,6,100,1
BCC0115000913,BC50009132,5V(10),2,30,3,78,2,BC,SUH,~~~~~,45,3,100,1
BCC0115000914,BC50009141,7WV(10),1,100,7,78,2,BC,SCT,d~~~~,5,7,100,1
BCC0115000915,BC50009151,NR(10),1,100,NR,82,1,BC,$GP,~~~~~,,NotRated,7,7
BCC0115000917,BC50009171,3V(10),1,100,3,78,2,BC,KNY,~~~~~,51,3,94,1
BCC0115000918,BC50009181,5VM(10),1,70,6,82,1,BC,CUB,~~~~~,19,6,94,1
BCC0115000918,BC50009182,5VM(10),2,30,4,82,1,BC,ABF,~~~~~,38,4,100,1
BCC0115000919,BC50009191,6WV(10),1,100,6,78,2,BC,VDD,d~~~~,14,6,100,1
BCC0115000920,BC50009201,6V(8) - 7WV(2),1,70,6,78,2,BC,WHC,~~~~~,14,6,94,1
BCC0115000920,BC50009202,6V(8) - 7WV(2),2,20,7,78,2,BC,SCT,~~~~~,5,7,100,1
BCC0115000920,BC50009203,6V(8) - 7WV(2),3,10,4,78,2,BC,NCH,~~~~~,31,4,90,1
BCC0115000921,BC50009211,6WV(10),1,100,6,78,2,BC,BFL,d~~~~,14,6,100,1
BCC0115000922,BC50009221,3W(10),1,60,3,78,2,BC,VYE,~~~~~,54,3,100,1
BCC0115000922,BC50009222,3W(10),2,40,3,78,2,BC,VYE,sv~~~,54,3,100,1
BCC0115000923,BC50009231,6WV(10),1,60,6,78,2,BC,SUM,d~~~~,11,6,100,1
BCC0115000923,BC50009232,6WV(10),2,40,6,78,2,BC,DIX,dsv~~,16,6,100,1
BCC0115000924,BC50009241,7WV(10),1,80,7,78,2,BC,LUB,d~~~~,1,7,100,1
BCC0115000924,BC50009242,7WV(10),2,20,7,78,2,BC,JUD,d~~~~,1,7,100,1
BCC0115000927,BC50009271,7WV(8) - 4V(2),1,40,7,78,2,BC,JUD,d~~~~,1,7,100,1
BCC0115000927,BC50009272,7WV(8) - 4V(2),2,40,7,78,2,BC,SCT,d~~~~,5,7,100,1
BCC0115000927,BC50009273,7WV(8) - 4V(2),3,20,4,78,2,BC,NCH,~~~~~,31,4,100,1
BCC0115000928,BC50009281,3VT(10),1,100,3,82,1,BC,PDV,~~~~~,52,3,73,2
BCC0115000929,BC50009291,3WV(10),1,100,3,78,2,BC,BTS,~~~~~,50,3,100,1
BCC0115000930,BC50009301,6WV(10),1,100,6,78,2,BC,BFL,d~~~~,14,6,100,1
BCC0115000931,BC50009311,6VT(7) - 7WV(3),1,70,6,78,2,BC,WHC,~~~~~,14,6,80,1
BCC0115000931,BC50009312,6VT(7) - 7WV(3),2,30,7,78,2,BC,SCT,d~~~~,5,7,100,1
BCC0115000932,BC50009321,6WV(10),1,60,5,82,1,BC,HRO,d~~~~,22,5,100,1
BCC0115000932,BC50009322,6WV(10),2,40,7,82,1,BC,SCT,d~~~~,5,7,100,1
BCC0115000933,BC50009331,6WV(7) - 7VM(3),1,70,6,82,1,BC,HRO,~~~~~,12,6,100,1
BCC0115000933,BC50009332,6WV(7) - 7VM(3),2,30,7,82,1,BC,BOS,~~~~~,0,7,100,1
BCC0115000934,BC50009341,7WV(10),1,60,7,78,2,BC,RSS,d~~~~,7,7,100,1
BCC0115000934,BC50009342,7WV(10),2,40,7,78,2,BC,LHM,d~~~~,6,7,100,1
BCC0115000935,BC50009351,7VM(6) - 6WV(4),1,60,7,82,1,BC,BOS,~~~~~,0,7,100,1
BCC0115000935,BC50009352,7VM(6) - 6WV(4),2,40,6,82,1,BC,HRO,~~~~~,12,6,100,1
BCC0115000937,BC50009371,6WV(7) - 4VW(3),1,70,6,78,2,BC,BFL,d~~~~,14,6,100,1
BCC0115000937,BC50009372,6WV(7) - 4VW(3),2,30,4,78,2,BC,BTS,sv~~~,39,4,100,1
BCC0115000938,BC50009381,6WV(7) - 3W(3),1,70,6,78,2,BC,VDD,d~~~~,14,6,100,1
BCC0115000938,BC50009382,6WV(7) - 3W(3),2,30,3,78,2,BC,VYE,~~~~~,54,3,100,1
BCC0115000939,BC50009391,3WV(10),1,60,3,78,2,BC,VYE,~~~~~,54,3,100,1
BCC0115000939,BC50009392,3WV(10),2,40,3,78,2,BC,BTS,~~~~~,50,3,100,1
BCC0115000940,BC50009401,5TV(10),1,40,4,82,1,BC,PDV,~~~~~,52,3,34,4
BCC0115000940,BC50009402,5TV(10),2,30,5,82,1,BC,PDV,sv~~~,43,4,26,5
BCC0115000940,BC50009403,5TV(10),3,30,5,82,1,BC,LZE,~~~~~,74,2,28,5
BCC0115000941,BC50009411,7WV(10),1,100,7,82,1,BC,RSS,d~~~~,7,7,100,1
BCC0115000943,BC50009431,6V(10),1,100,6,78,2,BC,WHC,~~~~~,14,6,100,1
BCC0115000944,BC50009441,3V(10),1,100,3,78,2,BC,LKM,~~~~~,52,3,100,1
BCC0115000945,BC50009451,7WV(10),1,100,7,78,2,BC,LUB,d~~~~,1,7,100,1
BCC0115000948,BC50009481,6TVM(10),1,100,6,67,2,BC,CUB,~~~~~,25,5,12,6
BCC0115000950,BC50009501,5VM(10),1,60,4,82,1,BC,DFH,~~~~~,30,4,100,1
BCC0115000950,BC50009502,5VM(10),2,40,6,82,1,BC,CUB,~~~~~,19,6,80,1
BCC0115000952,BC50009521,3VT(10),1,70,3,82,1,BC,PDV,~~~~~,52,3,80,1
